"","time","tmin","tmax","tmean","cmin","cmax","cmean","wmin","wmax","wmean","pmean","rhmin","rhmax","rhmean"
"1",-1739001,-19.1758322366781,-4.7961432262971,-11.0458599003724,21.7391304347826,100,84.2075736325386,2.45,15.4833333333333,8.20376344086021,44.9642857142857,68,95,82.7544802867383
"2",-1739002,-23.265780939002,-7.68947468972065,-14.0660781055333,20.8695652173913,100,80.5670379096166,3.05714285714286,16.9571428571429,8.8356790992259,31.8333333333333,69,95.6,84.1932881773399
"3",-1739003,-21.7500367545852,-7.4046510456558,-13.1308386198953,13.3333333333333,100,80.510752688172,2.41428571428571,14.8,7.75668202764977,29.9809523809524,69,95.35,84.3306451612903
"4",-1739004,-14.6284471091573,-3.94165217202245,-8.24013066965922,27.0833333333333,100,85.125,2.41428571428571,13.6428571428571,7.55380952380952,30.9857142857143,70.35,95.95,84.9083333333333
"5",-1739005,-7.00603994725752,-0.0286967833151227,-2.95356348044532,44.4,100,91.3032258064516,3.2,11.9,6.73732718894009,32.447619047619,70.7,95.85,85.5338709677419
"6",-1739006,-2.13609151846344,2.57285486239705,0.454632785664147,43.2,100,93.1733333333333,2.51428571428571,9.55714285714286,5.79904761904762,32.7380952380952,73.15,97.7,88.6566666666667
"7",-1739007,-1.06968446827333,3.26710547020895,1.24280571969124,63.3333333333333,100,96.3440860215054,2,9.05714285714286,5.10414746543779,51.8261904761905,82.55,98.1,92.1274193548387
"8",-1739008,-2.36803353726322,2.76599204939417,0.39960834564459,41.2,100,94.3612903225807,2.02857142857143,9.7,5.56635944700461,78.6309523809524,82.1363636363636,98.4545454545455,92.6099706744868
"9",-1739009,-4.70490478268348,1.73838232812245,-1.1604260331233,41.2,100,88.9333333333333,3.34285714285714,12.5428571428571,6.76380952380952,70.2523809523809,73.1363636363636,97.3636363636364,87.5393939393939
"10",-1739010,-7.30144171689833,0.579139754030315,-2.89969147237961,40.4,100,85.6903225806452,2.94285714285714,13.6,7.41059907834101,74.8833333333333,68.7272727272727,96.5,82.9677419354839
"11",-1739011,-9.94127254841819,-0.602045891152788,-4.66883922649726,33.75,100,84.625,3.44285714285714,14.0428571428571,7.68619047619048,69.7738095238095,70.2727272727273,95.0909090909091,82.3378787878788
"12",-1739012,-12.5811108096441,-1.78323387680182,-6.43799219323864,27.6,100,87.6387096774194,2.52857142857143,14.6,8.03133640552995,51.902380952381,70.9090909090909,95.5,83.9985337243402
"13",-1731001,-18.5758268350292,-4.19614583203949,-10.4458604142032,21.7391304347826,100,84.2075736325386,2.45,15.4833333333333,8.20376344086021,44.9642857142857,68,95,82.7544802867383
"14",-1731002,-22.6658135796905,-7.08947754133336,-13.4660803657141,20.8695652173913,100,80.5670379096166,3.05714285714286,16.9571428571429,8.8356790992259,31.8333333333333,69,95.6,84.1932881773399
"15",-1731003,-21.1500427321286,-6.80465337165629,-12.5308415000441,13.3333333333333,100,80.510752688172,2.41428571428571,14.8,7.75668202764977,29.9809523809524,69,95.35,84.3306451612903
"16",-1731004,-14.0284423646237,-3.34165236366809,-7.64013015803758,27.0833333333333,100,85.125,2.41428571428571,13.6428571428571,7.55380952380952,30.9857142857143,70.35,95.95,84.9083333333333
"17",-1731005,-6.40603871424767,0.571305734324947,-2.35356111191837,44.4,100,91.3032258064516,3.2,11.9,6.73732718894009,32.447619047619,70.7,95.85,85.5338709677419
"18",-1731006,-1.53609122487673,3.17285710814149,1.05463461605613,43.2,100,93.1733333333333,2.51428571428571,9.55714285714286,5.79904761904762,32.7380952380952,73.15,97.7,88.6566666666667
"19",-1731007,-0.469685432193517,3.867105374849,1.84280566239807,63.3333333333333,100,96.3440860215054,2,9.05714285714286,5.10414746543779,51.8261904761905,82.55,98.1,92.1274193548387
"20",-1731008,-1.76803286692976,3.36598989900955,0.999606572545766,41.2,100,94.3612903225807,2.02857142857143,9.7,5.56635944700461,78.6309523809524,82.1363636363636,98.4545454545455,92.6099706744868
"21",-1731009,-4.10490389815987,2.33837976077695,-0.560428102453388,41.2,100,88.9333333333333,3.34285714285714,12.5428571428571,6.76380952380952,70.2523809523809,73.1363636363636,97.3636363636364,87.5393939393939
"22",-1731010,-6.70144152852264,1.17913926573423,-2.29969185454849,40.4,100,85.6903225806452,2.94285714285714,13.6,7.41059907834101,74.8833333333333,68.7272727272727,96.5,82.9677419354839
"23",-1731011,-9.3412736213175,-0.00204283546331479,-4.0688367749984,33.75,100,84.625,3.44285714285714,14.0428571428571,7.68619047619048,69.7738095238095,70.2727272727273,95.0909090909091,82.3378787878788
"24",-1731012,-11.981113525081,-1.18322694670551,-5.83798651445955,27.6,100,87.6387096774194,2.52857142857143,14.6,8.03133640552995,51.902380952381,70.9090909090909,95.5,83.9985337243402
"25",-1728001,-19.0758324145369,-4.69614353622242,-10.9458599960021,21.7391304347826,100,84.2075736325386,2.45,15.4833333333333,8.20376344086021,44.9642857142857,68,95,82.7544802867383
"26",-1728002,-23.1657819804205,-7.58947506826951,-13.9660784398195,20.8695652173913,100,80.5670379096166,3.05714285714286,16.9571428571429,8.8356790992259,31.8333333333333,69,95.6,84.1932881773399
"27",-1728003,-21.6500371260468,-7.30465134546672,-13.0308390947741,13.3333333333333,100,80.510752688172,2.41428571428571,14.8,7.75668202764977,29.9809523809524,69,95.35,84.3306451612903
"28",-1728004,-14.5284468911424,-3.84165222282182,-8.14013058405097,27.0833333333333,100,85.125,2.41428571428571,13.6428571428571,7.55380952380952,30.9857142857143,70.35,95.95,84.9083333333333
"29",-1728005,-6.9060397938108,0.0713035672858654,-2.85356309117555,44.4,100,91.3032258064516,3.2,11.9,6.73732718894009,32.447619047619,70.7,95.85,85.5338709677419
"30",-1728006,-2.03609155643795,2.67285515723332,0.554633078105578,43.2,100,93.1733333333333,2.51428571428571,9.55714285714286,5.79904761904762,32.7380952380952,73.15,97.7,88.6566666666667
"31",-1728007,-0.969684507275097,3.36710545582915,1.34280571629307,63.3333333333333,100,96.3440860215054,2,9.05714285714286,5.10414746543779,51.8261904761905,82.55,98.1,92.1274193548387
"32",-1728008,-2.26803346028695,2.86599176893756,0.499608056601305,41.2,100,94.3612903225807,2.02857142857143,9.7,5.56635944700461,78.6309523809524,82.1363636363636,98.4545454545455,92.6099706744868
"33",-1728009,-4.60490467115304,1.838381983279,-1.06042637827486,41.2,100,88.9333333333333,3.34285714285714,12.5428571428571,6.76380952380952,70.2523809523809,73.1363636363636,97.3636363636364,87.5393939393939
"34",-1728010,-7.20144169686695,0.679139684010221,-2.79969153661262,40.4,100,85.6903225806452,2.94285714285714,13.6,7.41059907834101,74.8833333333333,68.7272727272727,96.5,82.9677419354839
"35",-1728011,-9.84127267998001,-0.502045476289118,-4.56883881711261,33.75,100,84.625,3.44285714285714,14.0428571428571,7.68619047619048,69.7738095238095,70.2727272727273,95.0909090909091,82.3378787878788
"36",-1728012,-12.4811108778586,-1.68323292052172,-6.33799124161859,27.6,100,87.6387096774194,2.52857142857143,14.6,8.03133640552995,51.902380952381,70.9090909090909,95.5,83.9985337243402
